snippet,sentiment,tokenize,normalisasi,lemmatisasi,stopwords,stemming,sentiment_encoded
mendadak limit turun sampai di padahal aktif dan sering untuk melakukan transaksi dan pembayaran juga selalu tepat waktu apa yang salah harusnya limit nya naikkan apakah system nya yang salah atau bagian analystnya yang tidak benar dulu di blokir dgn alasan lama tdk melakukan aktivitas setelah di komplain aktif kembali dan terus melakukan aktivitas pembelian dengan pembayaran yang terjaga dan bagus malah limit di nol kan dan level di turunkan sebenarnya bgm cara kerja platform ini anehh,Negatif,"['mendadak', 'limit', 'turun', 'sampai', 'di', 'padahal', 'aktif', 'dan', 'sering', 'untuk', 'melakukan', 'transaksi', 'dan', 'pembayaran', 'juga', 'selalu', 'tepat', 'waktu', 'apa', 'yang', 'salah', 'harusnya', 'limit', 'nya', 'naikkan', 'apakah', 'system', 'nya', 'yang', 'salah', 'atau', 'bagian', 'analystnya', 'yang', 'tidak', 'benar', 'dulu', 'di', 'blokir', 'dgn', 'alasan', 'lama', 'tdk', 'melakukan', 'aktivitas', 'setelah', 'di', 'komplain', 'aktif', 'kembali', 'dan', 'terus', 'melakukan', 'aktivitas', 'pembelian', 'dengan', 'pembayaran', 'yang', 'terjaga', 'dan', 'bagus', 'malah', 'limit', 'di', 'nol', 'kan', 'dan', 'level', 'di', 'turunkan', 'sebenarnya', 'bgm', 'cara', 'kerja', 'platform', 'ini', 'anehh']","['mendadak', 'limit', 'turun', 'sampai', 'di', 'padahal', 'aktif', 'dan', 'sering', 'untuk', 'melakukan', 'transaksi', 'dan', 'pembayaran', 'juga', 'selalu', 'tepat', 'waktu', 'apa', 'yang', 'salah', 'harusnya', 'limit', 'nya', 'naikkan', 'apakah', 'sistem', 'nya', 'yang', 'salah', 'atau', 'bagian', 'analisisnya', 'yang', 'tidak', 'benar', 'dulu', 'di', 'blokir', 'dengan', 'alasan', 'lama', 'tidak', 'melakukan', 'aktivitas', 'setelah', 'di', 'komplain', 'aktif', 'kembali', 'dan', 'terus', 'melakukan', 'aktivitas', 'pembelian', 'dengan', 'pembayaran', 'yang', 'terjaga', 'dan', 'bagus', 'malah', 'limit', 'di', 'nol', 'kan', 'dan', 'level', 'di', 'turunkan', 'sebenarnya', 'bgm', 'cara', 'kerja', 'platform', 'ini', 'anehh']","['mendadak', 'limit', 'turun', 'sampai', 'di', 'padahal', 'aktif', 'dan', 'sering', 'untuk', 'melakukan', 'transaksi', 'dan', 'pembayaran', 'juga', 'selalu', 'tepat', 'waktu', 'apa', 'yang', 'salah', 'harusnya', 'limit', 'nya', 'naikkan', 'apakah', 'sistem', 'nya', 'yang', 'salah', 'atau', 'bagian', 'analisisnya', 'yang', 'tidak', 'benar', 'dulu', 'di', 'blokir', 'dengan', 'alasan', 'lama', 'tidak', 'melakukan', 'aktivitas', 'setelah', 'di', 'komplain', 'aktif', 'kembali', 'dan', 'terus', 'melakukan', 'aktivitas', 'pembelian', 'dengan', 'pembayaran', 'yang', 'terjaga', 'dan', 'bagus', 'malah', 'limit', 'di', 'nol', 'kan', 'dan', 'level', 'di', 'turunkan', 'sebenarnya', 'bgm', 'cara', 'kerja', 'platform', 'ini', 'anehh']","['mendadak', 'limit', 'turun', 'aktif', 'transaksi', 'pembayaran', 'salah', 'limit', 'naikkan', 'sistem', 'salah', 'analisisnya', 'blokir', 'alasan', 'lama', 'aktivitas', 'komplain', 'aktif', 'aktivitas', 'pembelian', 'pembayaran', 'terjaga', 'bagus', 'limit', 'nol', 'level', 'turunkan', 'bgm', 'kerja', 'platform', 'anehh']","['dadak', 'limit', 'turun', 'aktif', 'transaksi', 'bayar', 'salah', 'limit', 'naik', 'sistem', 'salah', 'analisis', 'blokir', 'alasan', 'lama', 'aktivitas', 'komplain', 'aktif', 'aktivitas', 'beli', 'bayar', 'jaga', 'bagus', 'limit', 'nol', 'level', 'turun', 'bgm', 'kerja', 'platform', 'anehh']",0
sangat kecewa dengan traveloka tiket saya dibatalkan oleh maskapai tapi refund tidak bisa padahal kesalahan bukan dari saya prosesnya lambat dan tidak jelas membuat pelanggan merasa dirugikan sebagai platform besar seharusnya traveloka memberi perlindungan penuh ketika maskapai membatalkan penerbangan pengalaman ini benar benar mengecewakan dan membuat saya ragu memakai traveloka lagi dan mengimbau pengguna lain agar berhati hati dan mempertimbangkan ulang sebelum memakai traveloka,Negatif,"['sangat', 'kecewa', 'dengan', 'traveloka', 'tiket', 'saya', 'dibatalkan', 'oleh', 'maskapai', 'tapi', 'refund', 'tidak', 'bisa', 'padahal', 'kesalahan', 'bukan', 'dari', 'saya', 'prosesnya', 'lambat', 'dan', 'tidak', 'jelas', 'membuat', 'pelanggan', 'merasa', 'dirugikan', 'sebagai', 'platform', 'besar', 'seharusnya', 'traveloka', 'memberi', 'perlindungan', 'penuh', 'ketika', 'maskapai', 'membatalkan', 'penerbangan', 'pengalaman', 'ini', 'benar', 'benar', 'mengecewakan', 'dan', 'membuat', 'saya', 'ragu', 'memakai', 'traveloka', 'lagi', 'dan', 'mengimbau', 'pengguna', 'lain', 'agar', 'berhati', 'hati', 'dan', 'mempertimbangkan', 'ulang', 'sebelum', 'memakai', 'traveloka']","['sangat', 'kecewa', 'dengan', 'traveloka', 'tiket', 'saya', 'dibatalkan', 'oleh', 'maskapai', 'tapi', 'refund', 'tidak', 'bisa', 'padahal', 'kesalahan', 'bukan', 'dari', 'saya', 'prosesnya', 'lambat', 'dan', 'tidak', 'jelas', 'membuat', 'pelanggan', 'merasa', 'dirugikan', 'sebagai', 'platform', 'besar', 'seharusnya', 'traveloka', 'memberi', 'perlindungan', 'penuh', 'ketika', 'maskapai', 'membatalkan', 'penerbangan', 'pengalaman', 'ini', 'benar', 'benar', 'mengecewakan', 'dan', 'membuat', 'saya', 'ragu', 'memakai', 'traveloka', 'lagi', 'dan', 'mengimbau', 'pengguna', 'lain', 'agar', 'berhati', 'hati', 'dan', 'mempertimbangkan', 'ulang', 'sebelum', 'memakai', 'traveloka']","['sangat', 'kecewa', 'dengan', 'traveloka', 'tiket', 'saya', 'dibatalkan', 'oleh', 'maskapai', 'tapi', 'refund', 'tidak', 'bisa', 'padahal', 'kesalahan', 'bukan', 'dari', 'saya', 'prosesnya', 'lambat', 'dan', 'tidak', 'jelas', 'membuat', 'pelanggan', 'merasa', 'dirugikan', 'sebagai', 'platform', 'besar', 'seharusnya', 'traveloka', 'memberi', 'perlindungan', 'penuh', 'ketika', 'maskapai', 'membatalkan', 'penerbangan', 'pengalaman', 'ini', 'benar', 'benar', 'mengecewakan', 'dan', 'membuat', 'saya', 'ragu', 'memakai', 'traveloka', 'lagi', 'dan', 'mengimbau', 'pengguna', 'lain', 'agar', 'berhati', 'hati', 'dan', 'mempertimbangkan', 'ulang', 'sebelum', 'memakai', 'traveloka']","['kecewa', 'traveloka', 'tiket', 'dibatalkan', 'maskapai', 'tapi', 'refund', 'kesalahan', 'prosesnya', 'lambat', 'pelanggan', 'dirugikan', 'platform', 'traveloka', 'perlindungan', 'penuh', 'maskapai', 'membatalkan', 'penerbangan', 'pengalaman', 'mengecewakan', 'ragu', 'memakai', 'traveloka', 'mengimbau', 'pengguna', 'berhati', 'hati', 'mempertimbangkan', 'ulang', 'memakai', 'traveloka']","['kecewa', 'traveloka', 'tiket', 'batal', 'maskapai', 'tapi', 'refund', 'salah', 'proses', 'lambat', 'langgan', 'rugi', 'platform', 'traveloka', 'lindung', 'penuh', 'maskapai', 'batal', 'terbang', 'alam', 'kecewa', 'ragu', 'pakai', 'traveloka', 'imbau', 'guna', 'hati', 'hati', 'timbang', 'ulang', 'pakai', 'traveloka']",0
proses verifikasi payment gajelas udah payment tapi malah ga tervalidasi oleh sistem aplikasi efeknya e ticket gabisa rilis padahal jelas nomor virtual account nama penerima tertera bahwa traveloka giliran pengaduan via live chat cs nya slow respon banget,Negatif,"['proses', 'verifikasi', 'payment', 'gajelas', 'udah', 'payment', 'tapi', 'malah', 'ga', 'tervalidasi', 'oleh', 'sistem', 'aplikasi', 'efeknya', 'e', 'ticket', 'gabisa', 'rilis', 'padahal', 'jelas', 'nomor', 'virtual', 'account', 'nama', 'penerima', 'tertera', 'bahwa', 'traveloka', 'giliran', 'pengaduan', 'via', 'live', 'chat', 'cs', 'nya', 'slow', 'respon', 'banget']","['proses', 'verifikasi', 'payment', 'tidak jelas', 'sudah', 'payment', 'tapi', 'malah', 'tidak', 'tervalidasi', 'oleh', 'sistem', 'aplikasi', 'efeknya', 'e', 'tiket', 'tidak bisa', 'rilis', 'padahal', 'jelas', 'nomor', 'virtual', 'akun', 'nama', 'penerima', 'tertera', 'bahwa', 'traveloka', 'giliran', 'pengaduan', 'via', 'live', 'chat', 'customer service', 'nya', 'slow', 'respon', 'banget']","['proses', 'verifikasi', 'payment', 'tidak jelas', 'sudah', 'payment', 'tapi', 'malah', 'tidak', 'tervalidasi', 'oleh', 'sistem', 'aplikasi', 'efeknya', 'e', 'tiket', 'tidak bisa', 'rilis', 'padahal', 'jelas', 'nomor', 'virtual', 'akun', 'nama', 'penerima', 'tertera', 'bahwa', 'traveloka', 'giliran', 'pengaduan', 'via', 'live', 'chat', 'customer rvice', 'nya', 'slow', 'respon', 'banget']","['proses', 'verifikasi', 'payment', 'tidak jelas', 'payment', 'tapi', 'tervalidasi', 'sistem', 'aplikasi', 'efeknya', 'e', 'tiket', 'tidak bisa', 'rilis', 'nomor', 'virtual', 'akun', 'nama', 'penerima', 'tertera', 'traveloka', 'giliran', 'pengaduan', 'via', 'live', 'chat', 'customer service', 'slow', 'respon', 'banget']","['proses', 'verifikasi', 'payment', 'tidak jelas', 'payment', 'tapi', 'tervalidasi', 'sistem', 'aplikasi', 'efek', 'e', 'tiket', 'tidak bisa', 'rilis', 'nomor', 'virtual', 'akun', 'nama', 'terima', 'tera', 'traveloka', 'gilir', 'adu', 'via', 'live', 'chat', 'customer service', 'slow', 'respon', 'banget']",0
untuk menu penjualan tiket dan akomodasinya usah lumayan namun jangan pernah ajukan pay laternya hari sebelum jatuh tempo kolektor sudah mengganggu dengan spam call bunganya juga gak wajar otw ojk cek,Netral,"['untuk', 'menu', 'penjualan', 'tiket', 'dan', 'akomodasinya', 'usah', 'lumayan', 'namun', 'jangan', 'pernah', 'ajukan', 'pay', 'laternya', 'hari', 'sebelum', 'jatuh', 'tempo', 'kolektor', 'sudah', 'mengganggu', 'dengan', 'spam', 'call', 'bunganya', 'juga', 'gak', 'wajar', 'otw', 'ojk', 'cek']","['untuk', 'menu', 'penjualan', 'tiket', 'dan', 'akomodasinya', 'usah', 'lumayan', 'tapi', 'jangan', 'pernah', 'ajukan', 'pay', 'laternya', 'hari', 'sebelum', 'jatuh', 'tempo', 'kolektor', 'sudah', 'mengganggu', 'dengan', 'spam', 'call', 'bunganya', 'juga', 'tidak', 'wajar', 'otw', 'otoritas jasa keuangan', 'cek']","['untuk', 'menu', 'penjualan', 'tiket', 'dan', 'akomodasinya', 'usah', 'lumayan', 'tapi', 'jangan', 'pernah', 'ajukan', 'pay', 'laternya', 'hari', 'sebelum', 'jatuh', 'tempo', 'kolektor', 'sudah', 'mengganggu', 'dengan', 'spam', 'call', 'bunganya', 'juga', 'tidak', 'wajar', 'otw', 'otoritas jasa uangan', 'cek']","['menu', 'penjualan', 'tiket', 'akomodasinya', 'lumayan', 'tapi', 'ajukan', 'pay', 'laternya', 'jatuh', 'tempo', 'kolektor', 'mengganggu', 'spam', 'call', 'bunganya', 'wajar', 'otw', 'otoritas jasa keuangan', 'cek']","['menu', 'jual', 'tiket', 'akomodasi', 'lumayan', 'tapi', 'aju', 'pay', 'laternya', 'jatuh', 'tempo', 'kolektor', 'ganggu', 'spam', 'call', 'bunga', 'wajar', 'otw', 'otoritas jasa uang', 'cek']",1
poin yg dapat dr tiap beli tiket terlalu banyak tolong dikurangi jd rp saja transaksi poin sangat berguna bs dipakai untuk semua transaksi sngat bagus dan berguna untuk anda sendiri lanjutkan terus,Positif,"['poin', 'yg', 'dapat', 'dr', 'tiap', 'beli', 'tiket', 'terlalu', 'banyak', 'tolong', 'dikurangi', 'jd', 'rp', 'saja', 'transaksi', 'poin', 'sangat', 'berguna', 'bs', 'dipakai', 'untuk', 'semua', 'transaksi', 'sngat', 'bagus', 'dan', 'berguna', 'untuk', 'anda', 'sendiri', 'lanjutkan', 'terus']","['poin', 'yang', 'dapat', 'dari', 'setiap', 'beli', 'tiket', 'terlalu', 'banyak', 'tolong', 'dikurangi', 'jadi', 'rp', 'saja', 'transaksi', 'poin', 'sangat', 'berguna', 'bisa', 'dipakai', 'untuk', 'semua', 'transaksi', 'sangat', 'bagus', 'dan', 'berguna', 'untuk', 'anda', 'sendiri', 'lanjutkan', 'terus']","['poin', 'yang', 'dapat', 'dari', 'setiap', 'beli', 'tiket', 'terlalu', 'banyak', 'tolong', 'dikurangi', 'jadi', 'rp', 'saja', 'transaksi', 'poin', 'sangat', 'berguna', 'bisa', 'dipakai', 'untuk', 'semua', 'transaksi', 'sangat', 'bagus', 'dan', 'berguna', 'untuk', 'anda', 'sendiri', 'lanjutkan', 'terus']","['poin', 'beli', 'tiket', 'tolong', 'dikurangi', 'rp', 'transaksi', 'poin', 'berguna', 'dipakai', 'transaksi', 'bagus', 'berguna', 'lanjutkan']","['poin', 'beli', 'tiket', 'tolong', 'kurang', 'rp', 'transaksi', 'poin', 'guna', 'pakai', 'transaksi', 'bagus', 'guna', 'lanjut']",2
nama sudah tidak perlu ketik berulang ulang itu sudah sangat mempercepat kami dalam pesan tiket tingkatkan terus kemudahan dan buat aplikasi lebih user friendly namun masalah promo terlalu ribet kayak nya gak niat kasih promo,Positif,"['nama', 'sudah', 'tidak', 'perlu', 'ketik', 'berulang', 'ulang', 'itu', 'sudah', 'sangat', 'mempercepat', 'kami', 'dalam', 'pesan', 'tiket', 'tingkatkan', 'terus', 'kemudahan', 'dan', 'buat', 'aplikasi', 'lebih', 'user', 'friendly', 'namun', 'masalah', 'promo', 'terlalu', 'ribet', 'kayak', 'nya', 'gak', 'niat', 'kasih', 'promo']","['nama', 'sudah', 'tidak', 'perlu', 'ketik', 'berulang', 'ulang', 'itu', 'sudah', 'sangat', 'mempercepat', 'kami', 'dalam', 'pesan', 'tiket', 'tingkatkan', 'terus', 'kemudahan', 'dan', 'buat', 'aplikasi', 'lebih', 'user', 'friendly', 'tapi', 'masalah', 'promo', 'terlalu', 'ribet', 'kayak', 'nya', 'tidak', 'niat', 'kasih', 'promo']","['nama', 'sudah', 'tidak', 'perlu', 'ketik', 'berulang', 'ulang', 'itu', 'sudah', 'sangat', 'mempercepat', 'kami', 'dalam', 'pesan', 'tiket', 'tingkatkan', 'terus', 'kemudahan', 'dan', 'buat', 'aplikasi', 'lebih', 'user', 'friendly', 'tapi', 'masalah', 'promo', 'terlalu', 'ribet', 'kayak', 'nya', 'tidak', 'niat', 'kasih', 'promo']","['nama', 'ketik', 'berulang', 'ulang', 'mempercepat', 'pesan', 'tiket', 'tingkatkan', 'kemudahan', 'aplikasi', 'user', 'friendly', 'tapi', 'masalah', 'promo', 'ribet', 'kayak', 'niat', 'kasih', 'promo']","['nama', 'ketik', 'ulang', 'ulang', 'cepat', 'pesan', 'tiket', 'tingkatkan', 'mudah', 'aplikasi', 'user', 'friendly', 'tapi', 'masalah', 'promo', 'ribet', 'kayak', 'niat', 'kasih', 'promo']",2
saya ditipu booking hotel di aplikasi terus juga langsung dibayar full ehh waktu ke lokasi unitnya udah full semua padahal disitu keterangannya unit masih tersedia ajuin refund masih blom ada jawaban,Negatif,"['saya', 'ditipu', 'booking', 'hotel', 'di', 'aplikasi', 'terus', 'juga', 'langsung', 'dibayar', 'full', 'ehh', 'waktu', 'ke', 'lokasi', 'unitnya', 'udah', 'full', 'semua', 'padahal', 'disitu', 'keterangannya', 'unit', 'masih', 'tersedia', 'ajuin', 'refund', 'masih', 'blom', 'ada', 'jawaban']","['saya', 'ditipu', 'booking', 'hotel', 'di', 'aplikasi', 'terus', 'juga', 'langsung', 'dibayar', 'full', 'ehh', 'waktu', 'ke', 'lokasi', 'unitnya', 'sudah', 'full', 'semua', 'padahal', 'disitu', 'keterangannya', 'unit', 'masih', 'tersedia', 'ajuin', 'refund', 'masih', 'belum', 'ada', 'jawaban']","['saya', 'ditipu', 'booking', 'hotel', 'di', 'aplikasi', 'terus', 'juga', 'langsung', 'dibayar', 'full', 'ehh', 'waktu', 'ke', 'lokasi', 'unitnya', 'sudah', 'full', 'semua', 'padahal', 'disitu', 'keterangannya', 'unit', 'masih', 'tersedia', 'ajuin', 'refund', 'masih', 'belum', 'ada', 'jawaban']","['ditipu', 'booking', 'hotel', 'aplikasi', 'langsung', 'dibayar', 'full', 'lokasi', 'unitnya', 'full', 'disitu', 'keterangannya', 'unit', 'tersedia', 'ajuin', 'refund']","['tipu', 'booking', 'hotel', 'aplikasi', 'langsung', 'bayar', 'full', 'lokasi', 'unit', 'full', 'situ', 'terang', 'unit', 'sedia', 'ajuin', 'refund']",0
mendadak limit turun dan level paylater turun padahal tidak pernah telat bayar dan rutin pemakaian ketika diinformasikan ke customer service jawabannya bikin nyesek dan mual demi kenyamanan pelayanan aplikasi payah selama pakai traveloka baru sekarang ngalamin kejadian seperti ini,Negatif,"['mendadak', 'limit', 'turun', 'dan', 'level', 'paylater', 'turun', 'padahal', 'tidak', 'pernah', 'telat', 'bayar', 'dan', 'rutin', 'pemakaian', 'ketika', 'diinformasikan', 'ke', 'customer', 'service', 'jawabannya', 'bikin', 'nyesek', 'dan', 'mual', 'demi', 'kenyamanan', 'pelayanan', 'aplikasi', 'payah', 'selama', 'pakai', 'traveloka', 'baru', 'sekarang', 'ngalamin', 'kejadian', 'seperti', 'ini']","['mendadak', 'limit', 'turun', 'dan', 'level', 'paylater', 'turun', 'padahal', 'tidak', 'pernah', 'telat', 'bayar', 'dan', 'rutin', 'pemakaian', 'ketika', 'diinformasikan', 'ke', 'customer', 'service', 'jawabannya', 'bikin', 'nyesek', 'dan', 'mual', 'demi', 'kenyamanan', 'pelayanan', 'aplikasi', 'payah', 'selama', 'pakai', 'traveloka', 'baru', 'sekarang', 'mengalami', 'kejadian', 'seperti', 'ini']","['mendadak', 'limit', 'turun', 'dan', 'level', 'paylater', 'turun', 'padahal', 'tidak', 'pernah', 'telat', 'bayar', 'dan', 'rutin', 'pemakaian', 'ketika', 'diinformasikan', 'ke', 'customer', 'service', 'jawabannya', 'bikin', 'nyesek', 'dan', 'mual', 'demi', 'kenyamanan', 'pelayanan', 'aplikasi', 'payah', 'selama', 'pakai', 'traveloka', 'baru', 'sekarang', 'mengalami', 'kejadian', 'seperti', 'ini']","['mendadak', 'limit', 'turun', 'level', 'paylater', 'turun', 'telat', 'bayar', 'rutin', 'pemakaian', 'diinformasikan', 'customer', 'service', 'jawabannya', 'bikin', 'nyesek', 'mual', 'kenyamanan', 'pelayanan', 'aplikasi', 'payah', 'pakai', 'traveloka', 'mengalami', 'kejadian']","['dadak', 'limit', 'turun', 'level', 'paylater', 'turun', 'telat', 'bayar', 'rutin', 'pakai', 'informasi', 'customer', 'service', 'jawab', 'bikin', 'nyesek', 'mual', 'nyaman', 'layan', 'aplikasi', 'payah', 'pakai', 'traveloka', 'alami', 'jadi']",0
syukur alhamdulilah di era serba digitalisasi traveloka hadir benar sangat membantu pemesanan dan mudah dalam penggunaannya tidak ribet banyak pilihan mulai dari tiket pesawat hotel dll fiturnya sangat banyak dan tpaylaternya juga sangat membantu bagi pekerja yg gajian bulanan bisa ambil skrng bayar bulan depan keren traveloka semoga apa yang sudh disediakan dan kemudahannya tetap dipertahankan dan makin lebih baik bahkan kedepan depannya semoga tuhan yang maha esa sellu meridhoi kita smua,Positif,"['syukur', 'alhamdulilah', 'di', 'era', 'serba', 'digitalisasi', 'traveloka', 'hadir', 'benar', 'sangat', 'membantu', 'pemesanan', 'dan', 'mudah', 'dalam', 'penggunaannya', 'tidak', 'ribet', 'banyak', 'pilihan', 'mulai', 'dari', 'tiket', 'pesawat', 'hotel', 'dll', 'fiturnya', 'sangat', 'banyak', 'dan', 'tpaylaternya', 'juga', 'sangat', 'membantu', 'bagi', 'pekerja', 'yg', 'gajian', 'bulanan', 'bisa', 'ambil', 'skrng', 'bayar', 'bulan', 'depan', 'keren', 'traveloka', 'semoga', 'apa', 'yang', 'sudh', 'disediakan', 'dan', 'kemudahannya', 'tetap', 'dipertahankan', 'dan', 'makin', 'lebih', 'baik', 'bahkan', 'kedepan', 'depannya', 'semoga', 'tuhan', 'yang', 'maha', 'esa', 'sellu', 'meridhoi', 'kita', 'smua']","['syukur', 'alhamdulilah', 'di', 'era', 'serba', 'digitalisasi', 'traveloka', 'hadir', 'benar', 'sangat', 'membantu', 'pemesanan', 'dan', 'mudah', 'dalam', 'penggunaannya', 'tidak', 'ribet', 'banyak', 'pilihan', 'mulai', 'dari', 'tiket', 'pesawat', 'hotel', 'lain', 'fiturnya', 'sangat', 'banyak', 'dan', 'tpaylaternya', 'juga', 'sangat', 'membantu', 'bagi', 'pekerja', 'yang', 'gajian', 'bulanan', 'bisa', 'ambil', 'sekarang', 'bayar', 'bulan', 'depan', 'keren', 'traveloka', 'semoga', 'apa', 'yang', 'sudah', 'disediakan', 'dan', 'kemudahannya', 'tetap', 'dipertahankan', 'dan', 'makin', 'lebih', 'baik', 'bahkan', 'kedepan', 'depannya', 'semoga', 'tuhan', 'yang', 'maha', 'esa', 'selalu', 'meridhoi', 'kita', 'smua']","['syukur', 'alhamdulilah', 'di', 'era', 'serba', 'digitalisasi', 'traveloka', 'hadir', 'benar', 'sangat', 'membantu', 'pemesanan', 'dan', 'mudah', 'dalam', 'penggunaannya', 'tidak', 'ribet', 'banyak', 'pilihan', 'mulai', 'dari', 'tiket', 'pesawat', 'hotel', 'lain', 'fiturnya', 'sangat', 'banyak', 'dan', 'tpaylaternya', 'juga', 'sangat', 'membantu', 'bagi', 'pekerja', 'yang', 'gajian', 'bulanan', 'bisa', 'ambil', 'sekarang', 'bayar', 'bulan', 'depan', 'keren', 'traveloka', 'semoga', 'apa', 'yang', 'sudah', 'disediakan', 'dan', 'kemudahannya', 'tetap', 'dipertahankan', 'dan', 'makin', 'lebih', 'baik', 'bahkan', 'kedepan', 'depannya', 'semoga', 'tuhan', 'yang', 'maha', 'esa', 'selalu', 'meridhoi', 'kita', 'smua']","['syukur', 'alhamdulilah', 'era', 'serba', 'digitalisasi', 'traveloka', 'hadir', 'membantu', 'pemesanan', 'mudah', 'penggunaannya', 'ribet', 'pilihan', 'tiket', 'pesawat', 'hotel', 'fiturnya', 'tpaylaternya', 'membantu', 'pekerja', 'gajian', 'bulanan', 'ambil', 'bayar', 'keren', 'traveloka', 'semoga', 'disediakan', 'kemudahannya', 'dipertahankan', 'baik', 'kedepan', 'depannya', 'semoga', 'tuhan', 'maha', 'esa', 'meridhoi', 'smua']","['syukur', 'alhamdulilah', 'era', 'serba', 'digitalisasi', 'traveloka', 'hadir', 'membantu', 'mesan', 'mudah', 'guna', 'ribet', 'pilih', 'tiket', 'pesawat', 'hotel', 'fiturnya', 'tpaylaternya', 'membantu', 'kerja', 'gaji', 'bulan', 'ambil', 'bayar', 'keren', 'traveloka', 'moga', 'sedia', 'mudah', 'tahan', 'baik', 'depan', 'depan', 'moga', 'tuhan', 'maha', 'esa', 'meridhoi', 'smua']",2
sejauh ini menggunakan aplikasi traveloka cukup membantu banyak promo tersedia hanya saja paylater sy dibekukan permanent dengan alasan yg tdk masuk akal padahal sy sll bayar tepat waktu tdk digunakan untuk hal yg aneh,Positif,"['sejauh', 'ini', 'menggunakan', 'aplikasi', 'traveloka', 'cukup', 'membantu', 'banyak', 'promo', 'tersedia', 'hanya', 'saja', 'paylater', 'sy', 'dibekukan', 'permanent', 'dengan', 'alasan', 'yg', 'tdk', 'masuk', 'akal', 'padahal', 'sy', 'sll', 'bayar', 'tepat', 'waktu', 'tdk', 'digunakan', 'untuk', 'hal', 'yg', 'aneh']","['sejauh', 'ini', 'menggunakan', 'aplikasi', 'traveloka', 'cukup', 'membantu', 'banyak', 'promo', 'tersedia', 'hanya', 'saja', 'paylater', 'saya', 'dibekukan', 'permanent', 'dengan', 'alasan', 'yang', 'tidak', 'masuk', 'akal', 'padahal', 'saya', 'selalu', 'bayar', 'tepat', 'waktu', 'tidak', 'digunakan', 'untuk', 'hal', 'yang', 'aneh']","['sejauh', 'ini', 'menggunakan', 'aplikasi', 'traveloka', 'cukup', 'membantu', 'banyak', 'promo', 'tersedia', 'hanya', 'saja', 'paylater', 'saya', 'dibekukan', 'permanent', 'dengan', 'alasan', 'yang', 'tidak', 'masuk', 'akal', 'padahal', 'saya', 'selalu', 'bayar', 'tepat', 'waktu', 'tidak', 'digunakan', 'untuk', 'hal', 'yang', 'aneh']","['aplikasi', 'traveloka', 'membantu', 'promo', 'tersedia', 'paylater', 'dibekukan', 'permanent', 'alasan', 'masuk', 'akal', 'bayar', 'aneh']","['aplikasi', 'traveloka', 'membantu', 'promo', 'sedia', 'paylater', 'beku', 'permanent', 'alasan', 'masuk', 'akal', 'bayar', 'aneh']",2
